,source,target,source_node_size,edge_size
0,orfos_bot,orfosvinstvo,,1
0,love_sochi,lvschi,20100,13
1,love_sochi,love_sochi_chat,20100,12
17,love_sochi,sirius_okrug,20100,2
0,pruahin,dimsmirnov175,659,1
1,pruahin,the_heil,659,2
0,bbbreaking,navideovidno,311000,6
0,planerka_org,forum_planerka,56200,1
1,planerka_org,litvinovs,56200,1
2,planerka_org,planerka_30,56200,1
3,planerka_org,Marinaslovo,56200,1
4,planerka_org,orfosvinstvo,56200,2
6,planerka_org,nobel_arustamyan,56200,1
7,planerka_org,ivealreadywatched,56200,2
0,teory_elit,Boeingisback,55300,1
1,teory_elit,EliteTheoryFeedback,55300,1
2,teory_elit,orfosvinstvo,55300,6
0,AoMurmansk,vvg1975,2360,1
1,AoMurmansk,dartyomenko,2360,1
2,AoMurmansk,sevmorput,2360,2
0,rt_russian,rtintl,169000,1
1,rt_russian,rtrussian_4com_bot,169000,1
2,rt_russian,orfosvinstvo,169000,1
0,n0comments,nocomments_admin,44900,1
0,a_vyshinskiy,hinshtein,38200,1
1,a_vyshinskiy,lifenews,38200,1
2,a_vyshinskiy,LifeNews,38200,1
3,a_vyshinskiy,er_molnia,38200,2
0,remeslaw,big3russia,37300,1
1,remeslaw,insect_life,37300,1
2,remeslaw,kshulika,37300,2
4,remeslaw,barristerru,37300,1
5,remeslaw,savanichi,37300,2
7,remeslaw,razvedaem,37300,1
8,remeslaw,uranews,37300,3
11,remeslaw,operdrain,37300,2
13,remeslaw,er_molnia,37300,2
0,imerkouri,leninstreet_64,37400,2
2,imerkouri,readovkanews,37400,2
0,readovkanews,kostylewko,185000,1
0,kremlinprachka,Kremlin_pra4ka,82900,1
1,kremlinprachka,SolovievLive,82900,1
2,kremlinprachka,mediakiller,82900,2
4,kremlinprachka,good_events_russia,82900,1
0,SergeyKolyasnikov,margaritasimonyan,19700,1
1,SergeyKolyasnikov,rt_russian,19700,3
2,SergeyKolyasnikov,MedvedevVesti,19700,1
3,SergeyKolyasnikov,SolovievLive,19700,2
7,SergeyKolyasnikov,urallive,19700,3
9,SergeyKolyasnikov,dr_alex_sosnowski,19700,1
10,SergeyKolyasnikov,sbagdasarov,19700,3
0,romagolovanov,SolovievLive,12700,6
1,romagolovanov,yakemenko,12700,5
2,romagolovanov,itsalwayssunnyinmoscow,12700,1
10,romagolovanov,a_vyshinskiy,12700,1
12,romagolovanov,sskarnaukhov,12700,1
14,romagolovanov,NewFBK,12700,2
16,romagolovanov,rt_russian,12700,1
17,romagolovanov,urallive,12700,1
18,romagolovanov,SergeyKolyasnikov,12700,1
0,mig41,migconnect2_bot,41400,1
1,mig41,rian_ru,41400,2
3,mig41,wargonzo,41400,3
5,mig41,rt_russian,41400,2
0,izvestia,n1Che,13900,1
1,izvestia,rentv_news,13900,4
0,frantic_easel,infoteka24,8550,2
2,frantic_easel,romagolovanov,8550,2
4,frantic_easel,historiographe,8550,2
6,frantic_easel,tvrain,8550,4
8,frantic_easel,sharijnett,8550,2
10,frantic_easel,Moscow_with_love,8550,4
14,frantic_easel,ASGasparyan,8550,2
16,frantic_easel,vityzeva,8550,2
18,frantic_easel,kashinguru,8550,2
20,frantic_easel,rt_russian,8550,4
26,frantic_easel,meduzalive,8550,2
0,Radioskaner,Radioskaner_bot,14500,1
1,Radioskaner,aviasalonmaks,14500,5
4,Radioskaner,aviadispet4er,14500,1
5,Radioskaner,aviationmode,14500,1
6,Radioskaner,frequentflyers,14500,1
7,Radioskaner,AviaCT,14500,1
8,Radioskaner,AviaComments,14500,1
9,Radioskaner,inside_avia,14500,1
10,Radioskaner,zvozduh,14500,1
11,Radioskaner,otvinta_by,14500,1
12,Radioskaner,attackangle,14500,1
13,Radioskaner,pitot_tube,14500,1
14,Radioskaner,aviation21,14500,1
15,Radioskaner,atojournal,14500,1
16,Radioskaner,aviachatchannel,14500,1
17,Radioskaner,ChDambiev,14500,3
18,Radioskaner,astramilitarum,14500,1
19,Radioskaner,new_militarycolumnist,14500,1
20,Radioskaner,militarymaps,14500,1
21,Radioskaner,epoddubny,14500,1
22,Radioskaner,boris_rozhin,14500,1
23,Radioskaner,Army_Russia,14500,1
24,Radioskaner,vestnikpvo,14500,1
25,Radioskaner,aviadrive,14500,1
26,Radioskaner,wingsofwar,14500,1
27,Radioskaner,planeradar,14500,1
28,Radioskaner,heliman86,14500,1
29,Radioskaner,vertolatte,14500,1
30,Radioskaner,rumayday,14500,1
31,Radioskaner,aviaincident,14500,1
32,Radioskaner,helincidents,14500,1
33,Radioskaner,space78125,14500,1
34,Radioskaner,dronesrussia,14500,1
35,Radioskaner,aviahh,14500,1
36,Radioskaner,sky_around,14500,1
37,Radioskaner,AviaticA,14500,1
38,Radioskaner,AviationTech,14500,1
39,Radioskaner,uuee_aprch,14500,1
40,Radioskaner,aviafuel,14500,1
41,Radioskaner,main_aerodrome,14500,1
42,Radioskaner,fotografersha,14500,1
0,mediatech,mediatech_zen,73000,1
1,mediatech,ia_steklomoy,73000,1
2,mediatech,kbrvdvkr,73000,1
3,mediatech,positive_investing,73000,2
5,mediatech,podmoskvi4,73000,2
7,mediatech,sotavision,73000,2
9,mediatech,russianfuture,73000,2
11,mediatech,politjoystic,73000,1
12,mediatech,kstati_p,73000,2
14,mediatech,Metametrica,73000,1
15,mediatech,vladivostok1978,73000,1
16,mediatech,metametrica,73000,1
0,altay_online,buzoters_and_crows,515,1
1,altay_online,dimsmirnov175,515,1
2,altay_online,kurultaiRA,515,1
3,altay_online,breakingmash,515,1
4,altay_online,mediakiller,515,1
0,antidigital,e_sonin,19100,1
1,antidigital,okalman,19100,1
2,antidigital,esergina,19100,1
3,antidigital,OPMShtabOfficial,19100,2
0,russica2,kremlin_mother_expert,331000,2
1,russica2,politforum,331000,2
2,russica2,dumayem,331000,1
3,russica2,ShaltayBabay,331000,1
5,russica2,thegraschenkov,331000,1
6,russica2,alibaba_05,331000,1
7,russica2,tolk_tolk,331000,1
8,russica2,Ohranitel,331000,1
9,russica2,kaktovottak,331000,1
10,russica2,exp_fdn,331000,1
11,russica2,politgen,331000,1
12,russica2,Scriptirum,331000,2
13,russica2,su2050,331000,1
14,russica2,stranaua,331000,1
15,russica2,stratrus,331000,1
16,russica2,depkurilka,331000,1
17,russica2,cho_opyat,331000,1
18,russica2,T34newsfeed,331000,1
19,russica2,dvinskyclub,331000,1
21,russica2,abbasgallyamovpolitics,331000,1
22,russica2,politologmarkov,331000,1
23,russica2,matveychev,331000,1
25,russica2,staraya,331000,1
26,russica2,sotavision,331000,2
28,russica2,VersiaRu,331000,1
29,russica2,PogonyGalstuky,331000,1
30,russica2,bulba_of_thrones,331000,2
31,russica2,MedvedevVesti,331000,1
32,russica2,bogdan_bezpalko,331000,2
35,russica2,chesnokmedia,331000,1
36,russica2,made_in_kg,331000,1
37,russica2,seychas_kg,331000,1
0,criminalru,cgrfeedbackbot,83200,1
1,criminalru,kavkaz_leakbez,83200,5
6,criminalru,plohayaQ1,83200,1
7,criminalru,ruspress,83200,4
11,criminalru,ruarbitr,83200,2
0,gayasylum,ordashow,49400,1
1,gayasylum,bbbreaking,49400,7
5,gayasylum,minaevlife,49400,2
7,gayasylum,margaritasimonyan,49400,1
0,deputat_chirkova,SilaPomorya,220,2
1,deputat_chirkova,murmanfiknews,220,1
2,deputat_chirkova,zapiskimurmanchanki,220,1
3,deputat_chirkova,Sever_Siyanie,220,1
4,deputat_chirkova,zanaryanmarinao,220,1
5,deputat_chirkova,nelmanao,220,1
6,deputat_chirkova,MikleSilantev,220,1
7,deputat_chirkova,nordcat,220,1
8,deputat_chirkova,bathett,220,1
9,deputat_chirkova,vologodskoy_konvoy,220,1
10,deputat_chirkova,onlinemedia35,220,1
11,deputat_chirkova,vologdapoisk,220,1
12,deputat_chirkova,chepoli,220,1
13,deputat_chirkova,komileaks,220,1
14,deputat_chirkova,koroche_komi,220,1
15,deputat_chirkova,politsquirt,220,1
16,deputat_chirkova,TvoySpb,220,1
17,deputat_chirkova,arhsvoboda,220,1
19,deputat_chirkova,ecolog29,220,1
20,deputat_chirkova,z_vorchun,220,1
21,deputat_chirkova,polarday51,220,1
22,deputat_chirkova,GCP29,220,1
23,deputat_chirkova,ArhMnenie,220,1
24,deputat_chirkova,SuperSvaseBot,220,1
25,deputat_chirkova,ArhTelegka,220,1
0,mash_batash,batash_m,7730,1
1,mash_batash,mash_batash_bot,7730,1
0,munscanner,Skaner_feedbackbot,71300,1
1,munscanner,vassiliskk,71300,1
2,munscanner,ctrs2018,71300,3
5,munscanner,joinchat,71300,4
8,munscanner,BO_AK_reborn,71300,2
0,bazabazon,mogutin,383000,1
1,bazabazon,bazanewsbot,383000,1
0,znakcom,mplyusnina,38300,1
1,znakcom,znak_ekb,38300,1
2,znakcom,znak_74,38300,1
3,znakcom,znak_peterburg,38300,4
4,znakcom,znak_kurgan,38300,1
